source	time	person	location	organization	miscellaneous
thenews	2015-12-07T00:00:00	Emmanuel Ibe Kachikwu saidOPEC|Brent|thereSanjeev Gupta	China|US|Asia|Vienna|Singapore	the Federal Reserve|AsiaPacific|the Organization of the Petroleum Exporting Countries|West Texas Intermediate|IG Markets|Federal Reserve|EY|Fed|OPEC	countries|emmanuel|china|federal|dollarpriced|decide|cents|ey|demand|firm
thenews	2015-12-08T00:00:00			K Electric|National Electric Power Regulatory Authority|KARACHI K Electric	adjustment|distributors|decrease|karachi|country|announced|applicable|august|authority|bills
thenews	2015-12-08T00:00:00	marketsOn|Larry Hu|Michael McCarthy|Malaysias|Brent|Hideo Kumano	China|Hong Kong Oil|Tokyo|West Texas Intermediate|Rio Tinto|Washington|Sydney|Inpex|Hong Kong|yenNew York|US|Shanghai|Chinas	closeLondon  FTSE|the Organization of the Petroleum Exporting Countries|PetroChina|JX Holdings|Macquarie Securities|goldAnother|BHP Billiton|JulySeptember|Italys Eni|CMC Markets|Eurodollar UP|figuresThe|ExxonMobil Frances|Bloomberg NewsCommoditylinked|China Economics|Woodside|Daiichi Life Research Institute|Kong  Hang Seng|Oil Search	australian|china|economics|bigger|bickering|aggregate|focus|continued|battered|benchmark
thenews	2015-12-09T00:00:00	Adil Ahmed  Director Symmetry Group|Sarocsh Ahmed|Iris Digital	the Campaign South Asia Awards|Pakistan	the Digital Agency|Symmetry Digital|Iris Digital|Symmetry Group|the Campaign South Asias Agency|KARACHI Symmetry Digital|Group	consumers|created|business|challenging|deliver|believe|award|asias|amp|campaign
thenews	2015-12-09T00:00:00	Evan Lucas|Brent	Tokyo|China|Beijings|Hong Kong|Inpex|Sydney|Melbourne|Taipei Singapore|Kuala Lumpur|yenNew York|territoryShanghai|US|Hong Konglisted CNOOC|Chinas	closeLondon  FTSE|Eurodollar UP|Kong  Hang Seng|redTokyo|Bloomberg News|West Texas Intermediate|IG Ltd|BHP Billiton|TuesdayDollaryen|OPEC|Bloomberg NewsThe	anglo|clients|beijings|breakhong|ceiling|chinas|according|downturn|bloomberg|closelondon
thenews	2015-12-10T00:00:00	Brent|Sanjeev Gupta	the Asia Pacific|Singapore|US|Asia	West Texas Intermediate|dollarpriced oil|unchangedInvestors|EY|Fed|the Department of Energy|BMI Research|OPEC|lowsAnalysts	currency|bmi|club|economythere|bank|cut|asia|dollarpriced|barrels|dollar
thenews	2015-12-11T00:00:00	Brent|GKFX|James Hughes	Frankfurt|Paris|Tokyo|Hong Kong|US|London|New York|Shanghai|Chinas	IEA|CNOOC|PetroChina|Dow Jones|the International Energy Agency|SampP|BP|West Texas Intermediate|FTSE|CAC|Dow Chemical|Fed|London Global|Hughes|Royal Dutch Shell|the techrich Nasdaq Composite|the US Federal Reserve|ThursdayDollaryen UP|AFP|DuPont|Shells|Organization of the Petroleum Exporting Countries|pointsFrankfurt|OPEC	american|bargainbuying|end|anglo|fed|benchmark|ftse|asian|analysts|equities
thenews	2015-12-12T00:00:00	SBP Saeed Ahmed|Iftikhar Ali Malik|Irfan Siddiqui|Ishaq Dar|Mian Mansha|AlBarka Bank|Meezan|Shafaat Ahmed|NBP Ashraf Iqbal|Ashraf Wathra|Sarmad Ali|SAARC Chamber	Pakistan	Commercial Bank|State Bank|National Bank of Pakistan|MD Jang Group|LAHORE Federal Finance|Jang Group of Companies	ahmed|carry|dar|conference|companies|commercial|claimed|chamber|banking|bank
thenews	2015-12-13T00:00:00	Ghiyas Paracha|Paracha	Russia|China|UAE|US|Singapore	ISLAMABAD International|Pakistan CNG Association APCNGA|LNG	explore|crisis|confidence|december|energy|cuts|import|burden|capacity|chairman
thenews	2015-12-14T00:00:00	Esquire Elle Cosmopolitan|Santos|Guo Guangchang|Warren Buffett|Hong Konglisted CNOOC|Ric Spooner	Hong Kongs|Tokyo|Hong Kong|Rio Tinto|Sydney|Inpex|Alibaba|yenNew York|US|Asia|Shanghai	closeLondon  FTSE|SCMP|Kong  Hang Seng|offHowever CMC Markets|Sinopec|Federal Reserve|ChinaSCMP Group|JX Holdings|ChinaAnd|BHP Billiton|nowAdding|Harpers BazaarAlso|Konglisted|OPEC|Fosun International|SCMP Group	analysis|china|bhp|authorities|demand|cmc|climate|bazaaralso|announced|conglomerate
